index,family,id,split,style,channel,position,tokens,first_position,masked_boundary_tokens,content_tokens_equal_native,suffix_tokens_masked,reasoning_probability,accepted,p_system,p_user,p_tool,p_reasoning,p_assistant
52,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,system prompt,2,162,491,0,True,0,0.8016078016128028,True,1.192222882483843e-07,0.02098723445323152,0.16603386400366976,0.8016078016128028,0.01137098070800734
53,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,user message,1,162,476,0,True,0,0.680794580872919,True,2.5364541440926174e-07,0.07311688321067926,0.23752780098222148,0.680794580872919,0.008560481288765432
54,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,user message,2,162,491,0,True,0,0.7375953284249258,True,9.518538811115933e-08,0.06048053843042204,0.19271910518160731,0.7375953284249258,0.009204932777656397
55,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,README.md,1,161,511,1,False,1,0.5287840071918972,True,1.8311620913001712e-07,0.006211138823484497,0.46374445149800897,0.5287840071918972,0.0012602193703998561
56,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,README.md,2,161,526,1,False,1,0.581654413331389,True,7.240223555828465e-08,0.003010752579029951,0.4123474137445337,0.581654413331389,0.002987347942811248
57,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,native reasoning,0,118,39,0,True,0,0.9820167194034596,True,8.267107869644068e-05,0.003348716747123197,0.012311698437064096,0.9820167194034596,0.0022401943336565412
58,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,system prompt,1,117,3,1,False,1,0.46406869855800686,True,0.006805740969953916,0.18117507145910872,0.3313395516534588,0.46406869855800686,0.016610937359471802
59,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,system prompt,2,118,491,0,True,0,0.09099749467734597,False,1.0436135190129755e-07,0.6346107762825313,0.2735057070723866,0.09099749467734597,0.0008859176063841623
60,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,user message,1,118,476,0,True,0,0.055288454140761806,False,4.225318080147031e-08,0.764996314717202,0.1750792553681231,0.055288454140761806,0.004635933520732242
61,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,user message,2,118,491,0,True,0,0.044739545632140755,False,1.6348011422732163e-08,0.7887544361229326,0.16431107209683196,0.044739545632140755,0.002194929800083619
62,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,README.md,1,117,511,1,False,1,0.00016142223592164755,False,1.5043557463027854e-09,0.005885981097814752,0.9939525545725667,0.00016142223592164755,4.058934121684309e-08
63,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,rewrite,README.md,2,117,526,1,False,1,0.0002900831765366303,False,6.223090710750352e-10,0.0015091993737397862,0.998200486549992,0.0002900831765366303,2.3027742282597392e-07
64,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,full_reasoning,native full,0,1849,332,0,,,0.2183695875889754,True,6.878592206501008e-08,8.837425974461821e-07,0.0009311361234088376,0.2183695875889754,0.7806983237590971
65,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,full_final,native full,0,1611,2182,0,,,2.458716439890348e-10,False,1.1926746500292794e-20,3.0731643312998967e-18,7.455380267424721e-19,2.458716439890348e-10,0.9999999997541296
66,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,native reasoning,0,250,332,0,True,0,0.9170530170307966,True,1.5583381260419457e-06,1.1799022150036466e-05,0.009246045347162871,0.9170530170307966,0.07368758026176433
67,native,82421023-b29d-46e6-a031-95f2ee0ee308,test,excerpt,system prompt,1,249,3,1,False,1,0.6816411340521703,True,0.004656551461407995,0.0010538641070167506,0.25646370745064007,0.6816411340521703,0.0561847429287651
